GAME,EPISODE,REWARD_AVG,ACTION_VAL_AVG
Breakout-v5,20,-4.1,2.333488928079605
Breakout-v5,40,-3.8,0.8313641402171925
Breakout-v5,60,-4.3,0.9134442361822585
Breakout-v5,80,-3.9,0.8521708946675062
Breakout-v5,100,-3.95,0.9374751172628021
Breakout-v5,120,-3.7,0.9690543019602774
Breakout-v5,140,-3.85,0.9377454687524005
Breakout-v5,160,-4.05,0.8862817280949093
Breakout-v5,180,-4.05,0.9499128931443557
Breakout-v5,200,-4.1,0.8799742310802685
Breakout-v5,220,-4.0,0.9512809533198014
Breakout-v5,240,-4.05,0.9446576483978424
Breakout-v5,260,-4.0,0.8618809010424593
Breakout-v5,280,-4.05,0.8844890847672651
Breakout-v5,300,-4.0,0.9364737716237141
Breakout-v5,320,-3.75,0.9146897219421771
Breakout-v5,340,-3.9,0.8848351198320961
Breakout-v5,360,-3.7,0.9958017805239433
Breakout-v5,380,-3.75,1.0358110886345822
Breakout-v5,400,-3.7,1.0939439490035874
Breakout-v5,420,-3.55,1.2299638730287552
Breakout-v5,440,-3.95,1.1719069452981057
Breakout-v5,460,-3.85,1.2675837324454915
Breakout-v5,480,-3.65,1.2866693931681221
Breakout-v5,500,-4.05,1.2687988263435546
Breakout-v5,520,-4.05,1.269107503364794
Breakout-v5,540,-3.85,1.1986831263522617
Breakout-v5,560,-3.85,1.199972555433633
Breakout-v5,580,-3.95,1.2062206516470177
Breakout-v5,600,-3.25,1.193972060244414
Breakout-v5,620,-3.7,1.1867519637930672
Breakout-v5,640,-3.45,1.2153764729032992
Breakout-v5,660,-3.5,1.179855773638119
Breakout-v5,680,-3.8,1.153680079189653
Breakout-v5,700,-4.0,1.2177422089641914
Breakout-v5,720,-3.55,1.2556455950124654
Breakout-v5,740,-3.8,1.2561217257450334
Breakout-v5,760,-3.8,1.3154901360231452
Breakout-v5,780,-3.55,1.3242195096245268
Breakout-v5,800,-3.65,1.231622496539494
Breakout-v5,820,-3.4,1.20585941510275
Breakout-v5,840,-3.7,1.148755838260986
Breakout-v5,860,-3.8,1.235031050113612
Breakout-v5,880,-3.75,1.2766734571970302
Breakout-v5,900,-3.25,1.25743330537749
Breakout-v5,920,-3.35,1.2742432875634404
Breakout-v5,940,-3.3,1.295476996510406
Breakout-v5,960,-3.6,1.3305433214030926
Breakout-v5,980,-3.5,1.2906257242138963
Breakout-v5,1000,-3.2,1.2342062653182075
Breakout-v5,1020,-3.3,1.2626678995747351
Breakout-v5,1040,-3.2,1.1853585840470624
Breakout-v5,1060,-3.0,1.1718513929395704
Breakout-v5,1080,-3.2,1.2111262374930083
Breakout-v5,1100,-3.3,1.21687451134203
Breakout-v5,1120,-3.05,1.1727969802496956
Breakout-v5,1140,-3.5,1.1880925771297188
Breakout-v5,1160,-3.05,1.1820804434758612
